[# ERROR | 2022-11-05 | 22:56:13.151 | PID=9132 | ThreadId=8468 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:57:06.947 | PID=10080 | ThreadId=10148 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:58:55.307 | PID=10080 | ThreadId=9312 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:57.720 | PID=10080 | ThreadId=9520 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:57.786 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:57.897 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:57.990 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:58.094 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:58.187 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:58.297 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:58.391 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:58.501 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:58.590 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2022-11-05 | 22:59:58.699 | PID=10080 | ThreadId=2648 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
